Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
Apple Root CA - G3 ,Apple Root CA - G3 ,ECDSA ,384 bits ,SHA-384 ,2D C5 FC 88 D2 C5 4B 95 ,"18:19:06 Apr 30, 2039 ",Not EV ,63 34 3A BF B8 9A 6A 03 EB B5 7E 9B 3F 5F A7 BE 7C 4F 5C 75 6F 30 17 B3 A8 C4 88 C3 65 3E 91 79 
Apple Root CA ,Apple Root CA ,RSA ,2048 bits ,SHA-1 ,02 ,"21:40:36 Feb 9, 2035 ",Not EV ,B0 B1 73 0E CB C7 FF 45 05 14 2C 49 F1 29 5E 6E DA 6B CA ED 7E 2C 68 C5 BE 91 B5 A1 10 01 F0 24 
Apple Root Certificate Authority ,Apple Root Certificate Authority ,RSA ,2048 bits ,SHA-1 ,01 ,"00:18:14 Feb 10, 2025 ",Not EV ,0D 83 B6 11 B6 48 A1 A7 5E B8 55 84 00 79 53 75 CA D9 2E 26 4E D8 E9 D7 A7 57 C1 F5 EE 2B B2 2D 
Atos TrustedRoot 2011 ,Atos TrustedRoot 2011 ,RSA ,2048 bits ,SHA-256 ,5C 33 CB 62 2C 5F B3 32 ,"23:59:59 Dec 31, 2030 ",Not EV ,F3 56 BE A2 44 B7 A9 1E B3 5D 53 CA 9A D7 86 4A CE 01 8E 2D 35 D5 F8 F9 6D DF 68 A6 F4 1A A4 74 
Autoridad de Certificacion Firmaprofesional CIF A62634068 ,Autoridad de Certificacion Firmaprofesional CIF A62634068 ,RSA ,4096 bits ,SHA-1 ,53 EC 3B EE FB B2 48 5F ,"08:38:15 Dec 31, 2030 ",1.3.6.1.4.1.13177.10.1.3.10 2.23.140.1.1 ,04 04 80 28 BF 1F 28 64 D4 8F 9A D4 D8 32 94 36 6A 82 88 56 55 3F 3B 14 30 3F 90 14 7F 5D 40 EF 
Baltimore CyberTrust Root ,Baltimore CyberTrust Root ,RSA ,2048 bits ,SHA-1 ,02 00 00 B9 ,"23:59:00 May 12, 2025 ",1.3.6.1.4.1.6334.1.100.1 2.23.140.1.1 ,16 AF 57 A9 F6 76 B0 AB 12 60 95 AA 5E BA DE F2 2A B3 11 19 D6 44 AC 95 CD 4B 93 DB F3 F2 6A EB 
Belgium Root CA2 ,Belgium Root CA2 ,RSA ,2048 bits ,SHA-1 ,2A FF BE 9F A2 F0 E9 87 ,"08:00:00 Dec 15, 2021 ",Not EV ,9F 97 44 46 3B E1 37 14 75 4E 1A 3B EC F9 8C 08 CC 20 5E 4A B3 20 28 F4 E2 83 0C 4A 1B 27 75 B8 
Buypass Class 2 Root CA ,Buypass Class 2 Root CA ,RSA ,4096 bits ,SHA-256 ,02 ,"08:38:03 Oct 26, 2040 ",Not EV ,9A 11 40 25 19 7C 5B B9 5D 94 E6 3D 55 CD 43 79 08 47 B6 46 B2 3C DF 11 AD A4 A0 0E FF 15 FB 48 
Buypass Class 3 Root CA ,Buypass Class 3 Root CA ,RSA ,4096 bits ,SHA-256 ,02 ,"08:28:58 Oct 26, 2040 ",2.16.578.1.26.1.3.3 2.23.140.1.1 ,ED F7 EB BC A2 7A 2A 38 4D 38 7B 7D 40 10 C6 66 E2 ED B4 84 3E 4C 29 B4 AE 1D 5B 93 32 E6 B2 4D 
CA Disig Root R2 ,CA Disig Root R2 ,RSA ,4096 bits ,SHA-256 ,00 92 B8 88 DB B0 8A C1 63 ,"09:15:30 Jul 19, 2042 ",Not EV ,E2 3D 4A 03 6D 7B 70 E9 F5 95 B1 42 20 79 D2 B9 1E DF BB 1F B6 51 A0 63 3E AA 8A 9D C5 F8 07 03 
Certainly Root E1 ,Certainly Root E1 ,ECDSA ,384 bits ,SHA-384 ,06 25 33 B1 47 03 33 27 5C F9 8D 9A B9 BF CC F8 ,"00:00:00 Apr 1, 2046 ",Not EV ,B4 58 5F 22 E4 AC 75 6A 4E 86 12 A1 36 1C 5D 9D 03 1A 93 FD 84 FE BB 77 8F A3 06 8B 0F C4 2D C2 
Certainly Root R1 ,Certainly Root R1 ,RSA ,4096 bits ,SHA-256 ,00 8E 0F F9 4B 90 71 68 65 33 54 F4 D4 44 39 B7 E0 ,"00:00:00 Apr 1, 2046 ",Not EV ,77 B8 2C D8 64 4C 43 05 F7 AC C5 CB 15 6B 45 67 50 04 03 3D 51 C6 0C 62 02 A8 E0 C3 34 67 D3 A0 
Certigna ,Certigna ,RSA ,2048 bits ,SHA-1 ,00 FE DC E3 01 0F C9 48 FF ,"15:13:05 Jun 29, 2027 ",1.2.250.1.177.1.18.2.2 2.23.140.1.1 ,E3 B6 A2 DB 2E D7 CE 48 84 2F 7A C5 32 41 C7 B7 1D 54 14 4B FB 40 C1 1F 3F 1D 0B 42 F5 EE A1 2D 
certSIGN ROOT CA G2 ,certSIGN ROOT CA G2 ,RSA ,4096 bits ,SHA-256 ,11 00 34 B6 4E C6 36 2D 36 ,"09:27:35 Feb 6, 2042 ",2.23.140.1.1 ,65 7C FE 2F A7 3F AA 38 46 25 71 F3 32 A2 36 3A 46 FC E7 02 09 51 71 07 02 CD FB B6 EE DA 33 05 
certSIGN ROOT CA ,certSIGN ROOT CA ,RSA ,2048 bits ,SHA-1 ,20 06 05 16 70 02 ,"17:20:04 Jul 4, 2031 ",Not EV ,EA A9 62 C4 FA 4A 6B AF EB E4 15 19 6D 35 1C CD 88 8D 4F 53 F3 FA 8A E6 D7 C4 66 A9 4E 60 42 BB 
Certum CA ,Certum CA ,RSA ,2048 bits ,SHA-1 ,01 00 20 ,"10:46:39 Jun 11, 2027 ",1.2.616.1.113527.2.5.1.1 2.23.140.1.1 ,D8 E0 FE BC 1D B2 E3 8D 00 94 0F 37 D2 7D 41 34 4D 99 3E 73 4B 99 D5 65 6D 97 78 D4 D8 14 36 24 
Certum EC-384 CA ,Certum EC-384 CA ,ECDSA ,384 bits ,SHA-384 ,78 8F 27 5C 81 12 52 20 A5 04 D0 2D DD BA 73 F4 ,"07:24:54 Mar 26, 2043 ",Not EV ,6B 32 80 85 62 53 18 AA 50 D1 73 C9 8D 8B DA 09 D5 7E 27 41 3D 11 4C F7 87 A0 F5 D0 6C 03 0C F6 
Certum Trusted Network CA 2 ,Certum Trusted Network CA 2 ,RSA ,4096 bits ,SHA-512 ,21 D6 D0 4A 4F 25 0F C9 32 37 FC AA 5E 12 8D E9 ,"08:39:56 Oct 6, 2046 ",1.2.616.1.113527.2.5.1.1 2.23.140.1.1 ,B6 76 F2 ED DA E8 77 5C D3 6C B0 F6 3C D1 D4 60 39 61 F4 9E 62 65 BA 01 3A 2F 03 07 B6 D0 B8 04 
Certum Trusted Network CA ,Certum Trusted Network CA ,RSA ,2048 bits ,SHA-1 ,04 44 C0 ,"12:07:37 Dec 31, 2029 ",1.2.616.1.113527.2.5.1.1 2.23.140.1.1 ,5C 58 46 8D 55 F5 8E 49 7E 74 39 82 D2 B5 00 10 B6 D1 65 37 4A CF 83 A7 D4 A3 2D B7 68 C4 40 8E 
Certum Trusted Root CA ,Certum Trusted Root CA ,RSA ,4096 bits ,SHA-512 ,1E BF 59 50 B8 C9 80 37 4C 06 F7 EB 55 4F B5 ED ,"12:10:13 Mar 16, 2043 ",Not EV ,FE 76 96 57 38 55 77 3E 37 A9 5E 7A D4 D9 CC 96 C3 01 57 C1 5D 31 76 5B A9 B1 57 04 E1 AE 78 FD 
CFCA EV ROOT ,CFCA EV ROOT ,RSA ,4096 bits ,SHA-256 ,18 4A CC D6 ,"03:07:01 Dec 31, 2029 ",2.16.156.112554.3 2.23.140.1.1 ,5C C3 D7 8E 4E 1D 5E 45 54 7A 04 E6 87 3E 64 F9 0C F9 53 6D 1C CC 2E F8 00 F3 55 C4 C5 FD 70 FD 
Chambers of Commerce Root - 2008 ,Chambers of Commerce Root - 2008 ,RSA ,4096 bits ,SHA-1 ,00 A3 DA 42 7E A4 B1 AE DA ,"12:29:50 Jul 31, 2038 ",1.3.6.1.4.1.17326.10.14.2.1.2 2.23.140.1.1 ,06 3E 4A FA C4 91 DF D3 32 F3 08 9B 85 42 E9 46 17 D8 93 D7 FE 94 4E 10 A7 93 7E E2 9D 96 93 C0 
Chambers of Commerce Root ,Chambers of Commerce Root ,RSA ,2048 bits ,SHA-1 ,00 ,"16:13:44 Sep 30, 2037 ",Not EV ,0C 25 8A 12 A5 67 4A EF 25 F2 8B A7 DC FA EC EE A3 48 E5 41 E6 F5 CC 4E E6 3B 71 B3 61 60 6A C3 
Cisco Root CA 2048 ,Cisco Root CA 2048 ,RSA ,2048 bits ,SHA-1 ,5F F8 7B 28 2B 54 DC 8D 42 A3 15 B5 68 C9 AD FF ,"20:25:42 May 14, 2029 ",Not EV ,83 27 BC 8C 9D 69 94 7B 3D E3 C2 75 11 53 72 67 F5 9C 21 B9 FA 7B 61 3F AF BC CD 53 B7 02 40 00 
