Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
GlobalSign Root CA ,GlobalSign Root CA ,RSA ,2048 bits ,SHA-1 ,04 00 00 00 00 01 15 4B 5A C3 94 ,"12:00:00 Jan 28, 2028 ",Not EV ,EB D4 10 40 E4 BB 3E C7 42 C9 E3 81 D3 1E F2 A4 1A 48 B6 68 5C 96 E7 CE F3 C1 DF 6C D4 33 1C 99 
GlobalSign Root E46 ,GlobalSign Root E46 ,ECDSA ,384 bits ,SHA-384 ,11 D2 BB BA 33 6E D4 BC E6 24 68 C5 0D 84 1D 98 E8 43 ,"00:00:00 Mar 20, 2046 ",Not EV ,CB B9 C4 4D 84 B8 04 3E 10 50 EA 31 A6 9F 51 49 55 D7 BF D2 E2 C6 B4 93 01 01 9A D6 1D 9F 50 58 
GlobalSign Root R46 ,GlobalSign Root R46 ,RSA ,4096 bits ,SHA-384 ,11 D2 BB B9 D7 23 18 9E 40 5F 0A 9D 2D D0 DF 25 67 D1 ,"00:00:00 Mar 20, 2046 ",Not EV ,4F A3 12 6D 8D 3A 11 D1 C4 85 5A 4F 80 7C BA D6 CF 91 9D 3A 5A 88 B0 3B EA 2C 63 72 D9 3C 40 C9 
GlobalSign Secure Mail Root E45 ,GlobalSign Secure Mail Root E45 ,ECDSA ,384 bits ,SHA-384 ,76 53 FE AA 27 1D 95 46 5D D6 F1 9E E5 B8 90 0A ,"00:00:00 Mar 18, 2045 ",Not EV ,5C BF 6F B8 1F D4 17 EA 41 28 CD 6F 81 72 A3 C9 40 20 94 F7 4A B2 ED 3A 06 B4 40 5D 04 F3 0B 19 
GlobalSign Secure Mail Root R45 ,GlobalSign Secure Mail Root R45 ,RSA ,4096 bits ,SHA-384 ,76 53 FE A8 4C 50 AB 9F 8D 32 B5 1D 03 8F 57 DC ,"00:00:00 Mar 18, 2045 ",Not EV ,31 9A F0 A7 72 9E 6F 89 26 9C 13 1E A6 A3 A1 6F CD 86 38 9F DC AB 3C 47 A4 A6 75 C1 61 A3 F9 74 
GlobalSign ,GlobalSign ,ECDSA ,256 bits ,SHA-256 ,2A 38 A4 1C 96 0A 04 DE 42 B2 28 A5 0B E8 34 98 02 ,"03:14:07 Jan 19, 2038 ",Not EV ,BE C9 49 11 C2 95 56 76 DB 6C 0A 55 09 86 D7 6E 3B A0 05 66 7C 44 2C 97 62 B4 FB B7 73 DE 22 8C 
GlobalSign ,GlobalSign ,ECDSA ,384 bits ,SHA-384 ,60 59 49 E0 26 2E BB 55 F9 0A 77 8A 71 F9 4A D8 6C ,"03:14:07 Jan 19, 2038 ",Not EV ,17 9F BC 14 8A 3D D0 0F D2 4E A1 34 58 CC 43 BF A7 F5 9C 81 82 D7 83 A5 13 F6 EB EC 10 0C 89 24 
GlobalSign ,GlobalSign ,RSA ,2048 bits ,SHA-256 ,04 00 00 00 00 01 21 58 53 08 A2 ,"10:00:00 Mar 18, 2029 ",1.3.6.1.4.1.4146.1.1 2.23.140.1.1 ,CB B5 22 D7 B7 F1 27 AD 6A 01 13 86 5B DF 1C D4 10 2E 7D 07 59 AF 63 5A 7C F4 72 0D C9 63 C5 3B 
GlobalSign ,GlobalSign ,RSA ,4096 bits ,SHA-384 ,45 E6 BB 03 83 33 C3 85 65 48 E6 FF 45 51 ,"00:00:00 Dec 10, 2034 ",Not EV ,2C AB EA FE 37 D0 6C A2 2A BA 73 91 C0 03 3D 25 98 29 52 C4 53 64 73 49 76 3A 3A B5 AD 6C CF 69 
GLOBALTRUST 2020 ,GLOBALTRUST 2020 ,RSA ,4096 bits ,SHA-256 ,5A 4B BD 5A FB 4F 8A 5B FA 65 E5 ,"00:00:00 Jun 10, 2040 ",Not EV ,9A 29 6A 51 82 D1 D4 51 A2 E3 7F 43 9B 74 DA AF A2 67 52 33 29 F9 0F 9A 0D 20 07 C3 34 E2 3C 9A 
Go Daddy Class 2 Certification Authority ,Go Daddy Class 2 Certification Authority ,RSA ,2048 bits ,SHA-1 ,00 ,"17:06:20 Jun 29, 2034 ",2.16.840.1.114413.1.7.23.3 2.23.140.1.1 ,C3 84 6B F2 4B 9E 93 CA 64 27 4C 0E C6 7C 1E CC 5E 02 4F FC AC D2 D7 40 19 35 0E 81 FE 54 6A E4 
Go Daddy Root Certificate Authority - G2 ,Go Daddy Root Certificate Authority - G2 ,RSA ,2048 bits ,SHA-256 ,00 ,"23:59:59 Dec 31, 2037 ",2.16.840.1.114413.1.7.23.3 2.23.140.1.1 ,45 14 0B 32 47 EB 9C C8 C5 B4 F0 D7 B5 30 91 F7 32 92 08 9E 6E 5A 63 E2 74 9D D3 AC A9 19 8E DA 
Government Root Certification Authority ,Government Root Certification Authority ,RSA ,4096 bits ,SHA-256 ,00 B6 4B 88 07 E2 23 EE C8 5C 12 AD A6 0E 06 A1 F2 ,"15:59:59 Dec 31, 2037 ",Not EV ,70 B9 22 BF DA 0E 3F 4A 34 2E 4E E2 2D 57 9A E5 98 D0 71 CC 5E C9 C3 0F 12 36 80 34 03 88 AE A5 
GTS Root R1 ,GTS Root R1 ,RSA ,4096 bits ,SHA-384 ,6E 47 A9 C5 4B 47 0C 0D EC 33 D0 89 B9 1C F4 E1 ,"00:00:00 Jun 22, 2036 ",Not EV ,2A 57 54 71 E3 13 40 BC 21 58 1C BD 2C F1 3E 15 84 63 20 3E CE 94 BC F9 D3 CC 19 6B F0 9A 54 72 
GTS Root R2 ,GTS Root R2 ,RSA ,4096 bits ,SHA-384 ,6E 47 A9 C6 5A B3 E7 20 C5 30 9A 3F 68 52 F2 6F ,"00:00:00 Jun 22, 2036 ",Not EV ,C4 5D 7B B0 8E 6D 67 E6 2E 42 35 11 0B 56 4E 5F 78 FD 92 EF 05 8C 84 0A EA 4E 64 55 D7 58 5C 60 
GTS Root R3 ,GTS Root R3 ,ECDSA ,384 bits ,SHA-384 ,6E 47 A9 C7 6C A9 73 24 40 89 0F 03 55 DD 8D 1D ,"00:00:00 Jun 22, 2036 ",Not EV ,15 D5 B8 77 46 19 EA 7D 54 CE 1C A6 D0 B0 C4 03 E0 37 A9 17 F1 31 E8 A0 4E 1E 6B 7A 71 BA BC E5 
GTS Root R4 ,GTS Root R4 ,ECDSA ,384 bits ,SHA-384 ,6E 47 A9 C8 8B 94 B6 E8 BB 3B 2A D8 A2 B2 C1 99 ,"00:00:00 Jun 22, 2036 ",Not EV ,71 CC A5 39 1F 9E 79 4B 04 80 25 30 B3 63 E1 21 DA 8A 30 43 BB 26 66 2F EA 4D CA 7F C9 51 A4 BD 
HARICA Client ECC Root CA 2021 ,HARICA Client ECC Root CA 2021 ,ECDSA ,384 bits ,SHA-384 ,31 68 D9 D8 E1 62 57 1E D2 19 44 88 E6 10 7D F0 ,"11:03:33 Feb 13, 2045 ",Not EV ,8D D4 B5 37 3C B0 DE 36 76 9C 12 33 92 80 D8 27 46 B3 AA 6C D4 26 E7 97 A3 1B AB E4 27 9C F0 0B 
HARICA Client RSA Root CA 2021 ,HARICA Client RSA Root CA 2021 ,RSA ,4096 bits ,SHA-256 ,55 52 F8 1E DB 1B 24 2C 9E BB 96 18 CD 02 28 3E ,"10:58:45 Feb 13, 2045 ",Not EV ,1B E7 AB E3 06 86 B1 63 48 AF D1 C6 1B 68 66 A0 EA 7F 48 21 E6 7D 5E 8A F9 37 CF 80 11 BC 75 0D 
HARICA TLS ECC Root CA 2021 ,HARICA TLS ECC Root CA 2021 ,ECDSA ,384 bits ,SHA-384 ,67 74 9D 8D 77 D8 3B 6A DB 22 F4 FF 59 E2 BF CE ,"11:01:09 Feb 13, 2045 ",2.23.140.1.1 ,3F 99 CC 47 4A CF CE 4D FE D5 87 94 66 5E 47 8D 15 47 73 9F 2E 78 0F 1B B4 CA 9B 13 30 97 D4 01 
HARICA TLS RSA Root CA 2021 ,HARICA TLS RSA Root CA 2021 ,RSA ,4096 bits ,SHA-256 ,39 CA 93 1C EF 43 F3 C6 8E 93 C7 F4 64 89 38 7E ,"10:55:37 Feb 13, 2045 ",2.23.140.1.1 ,D9 5D 0E 8E DA 79 52 5B F9 BE B1 1B 14 D2 10 0D 32 94 98 5F 0C 62 D9 FA BD 9C D9 99 EC CB 7B 1D 
Hellenic Academic and Research Institutions ECC RootCA 2015 ,Hellenic Academic and Research Institutions ECC RootCA 2015 ,ECDSA ,384 bits ,SHA-256 ,00 ,"10:37:12 Jun 30, 2040 ",0.4.0.2042.1.4 1.3.6.1.4.1.26513.1.1.1.4 2.23.140.1.1 ,44 B5 45 AA 8A 25 E6 5A 73 CA 15 DC 27 FC 36 D2 4C 1C B9 95 3A 06 65 39 B1 15 82 DC 48 7B 48 33 
Hellenic Academic and Research Institutions RootCA 2011 ,Hellenic Academic and Research Institutions RootCA 2011 ,RSA ,2048 bits ,SHA-1 ,00 ,"13:49:52 Dec 1, 2031 ",Not EV ,BC 10 4F 15 A4 8B E7 09 DC A5 42 A7 E1 D4 B9 DF 6F 05 45 27 E8 02 EA A9 2D 59 54 44 25 8A FE 71 
Hellenic Academic and Research Institutions RootCA 2015 ,Hellenic Academic and Research Institutions RootCA 2015 ,RSA ,4096 bits ,SHA-256 ,00 ,"10:11:21 Jun 30, 2040 ",0.4.0.2042.1.4 1.3.6.1.4.1.26513.1.1.1.4 2.23.140.1.1 ,A0 40 92 9A 02 CE 53 B4 AC F4 F2 FF C6 98 1C E4 49 6F 75 5E 6D 45 FE 0B 2A 69 2B CD 52 52 3F 36 
Hongkong Post Root CA 1 ,Hongkong Post Root CA 1 ,RSA ,2048 bits ,SHA-1 ,03 E8 ,"04:52:29 May 15, 2023 ",Not EV ,F9 E6 7D 33 6C 51 00 2A C0 54 C6 32 02 2D 66 DD A2 E7 E3 FF F1 0A D0 61 ED 31 D8 BB B4 10 CF B2 
Hongkong Post Root CA 3 ,Hongkong Post Root CA 3 ,RSA ,4096 bits ,SHA-256 ,08 16 5F 8A 4C A5 EC 00 C9 93 40 DF C4 C6 AE 23 B8 1C 5A A4 ,"02:29:46 Jun 3, 2042 ",2.23.140.1.1 ,5A 2F C0 3F 0C 83 B0 90 BB FA 40 60 4B 09 88 44 6C 76 36 18 3D F9 84 6E 17 10 1A 44 7F B8 EF D6 
IdenTrust Commercial Root CA 1 ,IdenTrust Commercial Root CA 1 ,RSA ,4096 bits ,SHA-256 ,0A 01 42 80 00 00 01 45 23 C8 44 B5 00 00 00 02 ,"18:12:23 Jan 16, 2034 ",2.16.840.1.113839.0.6.9 2.23.140.1.1 ,5D 56 49 9B E4 D2 E0 8B CF CA D0 8A 3E 38 72 3D 50 50 3B DE 70 69 48 E4 2F 55 60 30 19 E5 28 AE 
IdenTrust Public Sector Root CA 1 ,IdenTrust Public Sector Root CA 1 ,RSA ,4096 bits ,SHA-256 ,0A 01 42 80 00 00 01 45 23 CF 46 7C 00 00 00 02 ,"17:53:32 Jan 16, 2034 ",Not EV ,30 D0 89 5A 9A 44 8A 26 20 91 63 55 22 D1 F5 20 10 B5 86 7A CA E1 2C 78 EF 95 8F D4 F4 38 9F 2F 
ISRG Root X1 ,ISRG Root X1 ,RSA ,4096 bits ,SHA-256 ,00 82 10 CF B0 D2 40 E3 59 44 63 E0 BB 63 82 8B 00 ,"11:04:38 Jun 4, 2035 ",Not EV ,96 BC EC 06 26 49 76 F3 74 60 77 9A CF 28 C5 A7 CF E8 A3 C0 AA E1 1A 8F FC EE 05 C0 BD DF 08 C6 
ISRG Root X2 ,ISRG Root X2 ,ECDSA ,384 bits ,SHA-384 ,41 D2 9D D1 72 EA EE A7 80 C1 2C 6C E9 2F 87 52 ,"16:00:00 Sep 17, 2040 ",Not EV ,69 72 9B 8E 15 A8 6E FC 17 7A 57 AF B7 17 1D FC 64 AD D2 8C 2F CA 8C F1 50 7E 34 45 3C CB 14 70 
Izenpe.com ,Izenpe.com ,RSA ,4096 bits ,SHA-1 ,06 E8 46 27 2F 1F 0A 8F D1 84 5C E3 69 F6 D5 ,"08:27:25 Dec 13, 2037 ",1.3.6.1.4.1.14777.6.1.1 1.3.6.1.4.1.14777.6.1.2 2.23.140.1.1 ,23 80 42 03 CA 45 D8 CD E7 16 B8 C1 3B F3 B4 48 45 7F A0 6C C1 02 50 99 7F A0 14 58 31 7C 41 E5 
Izenpe.com ,Izenpe.com ,RSA ,4096 bits ,SHA-256 ,00 B0 B7 5A 16 48 5F BF E1 CB F5 8B D7 19 E6 7D ,"08:27:25 Dec 13, 2037 ",Not EV ,25 30 CC 8E 98 32 15 02 BA D9 6F 9B 1F BA 1B 09 9E 2D 29 9E 0F 45 48 BB 91 4F 36 3B C0 D4 53 1F 
KISA RootCA 1 ,KISA RootCA 1 ,RSA ,2048 bits ,SHA-1 ,04 ,"08:05:46 Aug 24, 2025 ",Not EV ,6F DB 3F 76 C8 B8 01 A7 53 38 D8 A5 0A 7C 02 87 9F 61 98 B5 7E 59 4D 31 8D 38 32 90 0F ED CD 79 
Microsec e-Szigno Root CA 2009 ,Microsec e-Szigno Root CA 2009 ,RSA ,2048 bits ,SHA-256 ,00 C2 7E 43 04 4E 47 3F 19 ,"11:30:18 Dec 30, 2029 ",Not EV ,3C 5F 81 FE A5 FA B8 2C 64 BF A2 EA EC AF CD E8 E0 77 FC 86 20 A7 CA E5 37 16 3D F3 6E DB F3 78 
Microsoft ECC Root Certificate Authority 2017 ,Microsoft ECC Root Certificate Authority 2017 ,ECDSA ,384 bits ,SHA-384 ,66 F2 3D AF 87 DE 8B B1 4A EA 0C 57 31 01 C2 EC ,"23:16:04 Jul 18, 2042 ",Not EV ,35 8D F3 9D 76 4A F9 E1 B7 66 E9 C9 72 DF 35 2E E1 5C FA C2 27 AF 6A D1 D7 0E 8E 4A 6E DC BA 02 
Microsoft RSA Root Certificate Authority 2017 ,Microsoft RSA Root Certificate Authority 2017 ,RSA ,4096 bits ,SHA-384 ,1E D3 97 09 5F D8 B4 B3 47 70 1E AA BE 7F 45 B3 ,"23:00:23 Jul 18, 2042 ",Not EV ,C7 41 F7 0F 4B 2A 8D 88 BF 2E 71 C1 41 22 EF 53 EF 10 EB A0 CF A5 E6 4C FA 20 F4 18 85 30 73 E0 
NAVER Global Root Certification Authority ,NAVER Global Root Certification Authority ,RSA ,4096 bits ,SHA-384 ,01 94 30 1E A2 0B DD F5 C5 33 2A B1 43 44 71 F8 D6 50 4D 0D ,"23:59:59 Aug 18, 2037 ",Not EV ,88 F4 38 DC F8 FF D1 FA 8F 42 91 15 FF E5 F8 2A E1 E0 6E 0C 70 C3 75 FA AD 71 7B 34 A4 9E 72 65 
NetLock Arany (Class Gold) Főtanúsítvány ,NetLock Arany (Class Gold) Főtanúsítvány ,RSA ,2048 bits ,SHA-256 ,49 41 2C E4 00 10 ,"15:08:21 Dec 6, 2028 ",Not EV ,6C 61 DA C3 A2 DE F0 31 50 6B E0 36 D2 A6 FE 40 19 94 FB D1 3D F9 C8 D4 66 59 92 74 C4 46 EC 98 
Network Solutions Certificate Authority ,Network Solutions Certificate Authority ,RSA ,2048 bits ,SHA-1 ,57 CB 33 6F C2 5C 16 E6 47 16 17 E3 90 31 68 E0 ,"23:59:59 Dec 31, 2029 ",1.3.6.1.4.1.782.1.2.1.8.1 2.23.140.1.1 ,15 F0 BA 00 A3 AC 7A F3 AC 88 4C 07 2B 10 11 A0 77 BD 77 C0 97 F4 01 64 B2 F8 59 8A BD 83 86 0C 
OISTE WISeKey Global Root GA CA ,OISTE WISeKey Global Root GA CA ,RSA ,2048 bits ,SHA-1 ,41 3D 72 C7 F4 6B 1F 81 43 7D F1 D2 28 54 DF 9A ,"16:09:51 Dec 11, 2037 ",Not EV ,41 C9 23 86 6A B4 CA D6 B7 AD 57 80 81 58 2E 02 07 97 A6 CB DF 4F FF 78 CE 83 96 B3 89 37 D7 F5 
OISTE WISeKey Global Root GB CA ,OISTE WISeKey Global Root GB CA ,RSA ,2048 bits ,SHA-256 ,76 B1 20 52 74 F0 85 87 46 B3 F8 23 1A F6 C2 C0 ,"15:10:31 Dec 1, 2039 ",2.16.756.5.14.7.4.8 2.23.140.1.1 ,6B 9C 08 E8 6E B0 F7 67 CF AD 65 CD 98 B6 21 49 E5 49 4A 67 F5 84 5E 7B D1 ED 01 9F 27 B8 6B D6 
OISTE WISeKey Global Root GC CA ,OISTE WISeKey Global Root GC CA ,ECDSA ,384 bits ,SHA-384 ,21 2A 56 0C AE DA 0C AB 40 45 BF 2B A2 2D 3A EA ,"09:58:33 May 9, 2042 ",Not EV ,85 60 F9 1C 36 24 DA BA 95 70 B5 FE A0 DB E3 6F F1 1A 83 23 BE 94 86 85 4F B3 F3 4A 55 71 19 8D 
QuoVadis Root CA 1 G3 ,QuoVadis Root CA 1 G3 ,RSA ,4096 bits ,SHA-256 ,78 58 5F 2E AD 2C 19 4B E3 37 07 35 34 13 28 B5 96 D4 65 93 ,"17:27:44 Jan 12, 2042 ",Not EV ,8A 86 6F D1 B2 76 B5 7E 57 8E 92 1C 65 82 8A 2B ED 58 E9 F2 F2 88 05 41 34 B7 F1 F4 BF C9 CC 74 
QuoVadis Root CA 2 G3 ,QuoVadis Root CA 2 G3 ,RSA ,4096 bits ,SHA-256 ,44 57 34 24 5B 81 89 9B 35 F2 CE B8 2B 3B 5B A7 26 F0 75 28 ,"18:59:32 Jan 12, 2042 ",1.3.6.1.4.1.8024.0.2.100.1.2 2.23.140.1.1 ,8F E4 FB 0A F9 3A 4D 0D 67 DB 0B EB B2 3E 37 C7 1B F3 25 DC BC DD 24 0E A0 4D AF 58 B4 7E 18 40 
QuoVadis Root CA 2 ,QuoVadis Root CA 2 ,RSA ,4096 bits ,SHA-1 ,05 09 ,"18:23:33 Nov 24, 2031 ",1.3.6.1.4.1.8024.0.2.100.1.2 2.23.140.1.1 ,85 A0 DD 7D D7 20 AD B7 FF 05 F8 3D 54 2B 20 9D C7 FF 45 28 F7 D6 77 B1 83 89 FE A5 E5 C4 9E 86 
QuoVadis Root CA 3 G3 ,QuoVadis Root CA 3 G3 ,RSA ,4096 bits ,SHA-256 ,2E F5 9B 02 28 A7 DB 7A FF D5 A3 A9 EE BD 03 A0 CF 12 6A 1D ,"20:26:32 Jan 12, 2042 ",Not EV ,88 EF 81 DE 20 2E B0 18 45 2E 43 F8 64 72 5C EA 5F BD 1F C2 D9 D2 05 73 07 09 C5 D8 B8 69 0F 46 
QuoVadis Root CA 3 ,QuoVadis Root CA 3 ,RSA ,4096 bits ,SHA-1 ,05 C6 ,"19:06:44 Nov 24, 2031 ",Not EV ,18 F1 FC 7F 20 5D F8 AD DD EB 7F E0 07 DD 57 E3 AF 37 5A 9C 4D 8D 73 54 6B F4 F1 FE D1 E1 8D 35 
Secure Global CA ,Secure Global CA ,RSA ,2048 bits ,SHA-1 ,07 56 22 A4 E8 D4 8A 89 4D F4 13 C8 F0 F8 EA A5 ,"19:52:06 Dec 31, 2029 ",2.16.840.1.114404.1.1.2.4.1 2.23.140.1.1 ,42 00 F5 04 3A C8 59 0E BB 52 7D 20 9E D1 50 30 29 FB CB D4 1C A1 B5 06 EC 27 F1 5A DE 7D AC 69 
SecureTrust CA ,SecureTrust CA ,RSA ,2048 bits ,SHA-1 ,0C F0 8E 5C 08 16 A5 AD 42 7F F0 EB 27 18 59 D0 ,"19:40:55 Dec 31, 2029 ",2.16.840.1.114404.1.1.2.4.1 2.23.140.1.1 ,F1 C1 B5 0A E5 A2 0D D8 03 0E C9 F6 BC 24 82 3D D3 67 B5 25 57 59 B4 E7 1B 61 FC E9 F7 37 5D 73 
Security Communication RootCA1 ,Security Communication RootCA1 ,RSA ,2048 bits ,SHA-1 ,00 ,"04:20:49 Sep 30, 2023 ",1.2.392.200091.100.721.1 2.23.140.1.1 ,E7 5E 72 ED 9F 56 0E EC 6E B4 80 00 73 A4 3F C3 AD 19 19 5A 39 22 82 01 78 95 97 4A 99 02 6B 6C 
Security Communication RootCA2 ,Security Communication RootCA2 ,RSA ,2048 bits ,SHA-256 ,00 ,"05:00:39 May 29, 2029 ",1.2.392.200091.100.721.1 2.23.140.1.1 ,51 3B 2C EC B8 10 D4 CD E5 DD 85 39 1A DF C6 C2 DD 60 D8 7B B7 36 D2 B5 21 48 4A A4 7A 0E BE F6 
SSL.com EV Root Certification Authority ECC ,SSL.com EV Root Certification Authority ECC ,ECDSA ,384 bits ,SHA-256 ,2C 29 9C 5B 16 ED 05 95 ,"18:15:23 Feb 12, 2041 ",2.23.140.1.1 ,22 A2 C1 F7 BD ED 70 4C C1 E7 01 B5 F4 08 C3 10 88 0F E9 56 B5 DE 2A 4A 44 F9 9C 87 3A 25 A7 C8 
SSL.com EV Root Certification Authority RSA R2 ,SSL.com EV Root Certification Authority RSA R2 ,RSA ,4096 bits ,SHA-256 ,56 B6 29 CD 34 BC 78 F6 ,"18:14:37 May 30, 2042 ",2.23.140.1.1 ,2E 7B F1 6C C2 24 85 A7 BB E2 AA 86 96 75 07 61 B0 AE 39 BE 3B 2F E9 D0 CC 6D 4E F7 34 91 42 5C 
SSL.com Root Certification Authority ECC ,SSL.com Root Certification Authority ECC ,ECDSA ,384 bits ,SHA-256 ,75 E6 DF CB C1 68 5B A8 ,"18:14:03 Feb 12, 2041 ",Not EV ,34 17 BB 06 CC 60 07 DA 1B 96 1C 92 0B 8A B4 CE 3F AD 82 0E 4A A3 0B 9A CB C4 A7 4E BD CE BC 65 
SSL.com Root Certification Authority RSA ,SSL.com Root Certification Authority RSA ,RSA ,4096 bits ,SHA-256 ,7B 2C 9B D3 16 80 32 99 ,"17:39:39 Feb 12, 2041 ",Not EV ,85 66 6A 56 2E E0 BE 5C E9 25 C1 D8 89 0A 6F 76 A8 7E C1 6D 4D 7D 5F 29 EA 74 19 CF 20 12 3B 69 
Staat der Nederlanden EV Root CA ,Staat der Nederlanden EV Root CA ,RSA ,4096 bits ,SHA-256 ,00 98 96 8D ,"11:10:28 Dec 8, 2022 ",2.16.528.1.1003.1.2.7 2.23.140.1.1 ,4D 24 91 41 4C FE 95 67 46 EC 4C EF A6 CF 6F 72 E2 8A 13 29 43 2F 9D 8A 90 7A C4 CB 5D AD C1 5A 
Staat der Nederlanden Root CA - G2 ,Staat der Nederlanden Root CA - G2 ,RSA ,4096 bits ,SHA-256 ,00 98 96 8C ,"11:03:10 Mar 25, 2020 ",Not EV ,66 8C 83 94 7D A6 3B 72 4B EC E1 74 3C 31 A0 E6 AE D0 DB 8E C5 B3 1B E3 77 BB 78 4F 91 B6 71 6F 
Starfield Class 2 Certification Authority ,Starfield Class 2 Certification Authority ,RSA ,2048 bits ,SHA-1 ,00 ,"17:39:16 Jun 29, 2034 ",2.16.840.1.114414.1.7.23.3 2.23.140.1.1 ,14 65 FA 20 53 97 B8 76 FA A6 F0 A9 95 8E 55 90 E4 0F CC 7F AA 4F B7 C2 C8 67 75 21 FB 5F B6 58 
Starfield Root Certificate Authority - G2 ,Starfield Root Certificate Authority - G2 ,RSA ,2048 bits ,SHA-256 ,00 ,"23:59:59 Dec 31, 2037 ",2.16.840.1.114414.1.7.23.3 2.23.140.1.1 ,2C E1 CB 0B F9 D2 F9 E1 02 99 3F BE 21 51 52 C3 B2 DD 0C AB DE 1C 68 E5 31 9B 83 91 54 DB B7 F5 
Starfield Services Root Certificate Authority - G2 ,Starfield Services Root Certificate Authority - G2 ,RSA ,2048 bits ,SHA-256 ,00 ,"23:59:59 Dec 31, 2037 ",2.16.840.1.114414.1.7.24.3 2.23.140.1.1 ,56 8D 69 05 A2 C8 87 08 A4 B3 02 51 90 ED CF ED B1 97 4A 60 6A 13 C6 E5 29 0F CB 2A E6 3E DA B5 
StartCom Certification Authority G2 ,StartCom Certification Authority G2 ,RSA ,4096 bits ,SHA-256 ,3B ,"23:59:01 Dec 31, 2039 ",1.3.6.1.4.1.23223.2 1.3.6.1.4.1.23223.1.1.1 2.23.140.1.1 ,C7 BA 65 67 DE 93 A7 98 AE 1F AA 79 1E 71 2D 37 8F AE 1F 93 C4 39 7F EA 44 1B B7 CB E6 FD 59 95 
Swisscom Root CA 1 ,Swisscom Root CA 1 ,RSA ,4096 bits ,SHA-1 ,5C 0B 85 5C 0B E7 59 41 DF 57 CC 3F 7F 9D A8 36 ,"22:06:20 Aug 18, 2025 ",Not EV ,21 DB 20 12 36 60 BB 2E D4 18 20 5D A1 1E E7 A8 5A 65 E2 BC 6E 55 B5 AF 7E 78 99 C8 A2 66 D9 2E 
Swisscom Root CA 2 ,Swisscom Root CA 2 ,RSA ,4096 bits ,SHA-256 ,1E 9E 28 E8 48 F2 E5 EF C3 7C 4A 1E 5A 18 67 B6 ,"07:38:14 Jun 25, 2031 ",Not EV ,F0 9B 12 2C 71 14 F4 A0 9B D4 EA 4F 4A 99 D5 58 B4 6E 4C 25 CD 81 14 0D 29 C0 56 13 91 4C 38 41 
Swisscom Root EV CA 2 ,Swisscom Root EV CA 2 ,RSA ,4096 bits ,SHA-256 ,00 F2 FA 64 E2 74 63 D3 8D FD 10 1D 04 1F 76 CA 58 ,"08:45:08 Jun 25, 2031 ",2.16.756.1.83.21.0 2.23.140.1.1 ,D9 5F EA 3C A4 EE DC E7 4C D7 6E 75 FC 6D 1F F6 2C 44 1F 0F A8 BC 77 F0 34 B1 9E 5D B2 58 01 5D 
SwissSign Gold CA - G2 ,SwissSign Gold CA - G2 ,RSA ,4096 bits ,SHA-1 ,00 BB 40 1C 43 F5 5E 4F B0 ,"08:30:35 Oct 25, 2036 ",2.16.756.1.89.1.2.1.1 2.23.140.1.1 ,62 DD 0B E9 B9 F5 0A 16 3E A0 F8 E7 5C 05 3B 1E CA 57 EA 55 C8 68 8F 64 7C 68 81 F2 C8 35 7B 95 
SwissSign Platinum CA - G2 ,SwissSign Platinum CA - G2 ,RSA ,4096 bits ,SHA-1 ,4E B2 00 67 0C 03 5D 4F ,"08:36:00 Oct 25, 2036 ",Not EV ,3B 22 2E 56 67 11 E9 92 30 0D C0 B1 5A B9 47 3D AF DE F8 C8 4D 0C EF 7D 33 17 B4 C1 82 1D 14 36 
SwissSign Silver CA - G2 ,SwissSign Silver CA - G2 ,RSA ,4096 bits ,SHA-1 ,4F 1B D4 2F 54 BB 2F 4B ,"08:32:46 Oct 25, 2036 ",Not EV ,BE 6C 4D A2 BB B9 BA 59 B6 F3 93 97 68 37 42 46 C3 C0 05 99 3F A9 8F 02 0D 1D ED BE D4 8A 81 D5 
Symantec Class 1 Public Primary Certification Authority - G6 ,Symantec Class 1 Public Primary Certification Authority - G6 ,RSA ,2048 bits ,SHA-256 ,24 32 75 F2 1D 2F D2 09 33 F7 B4 6A CA D0 F3 98 ,"23:59:59 Dec 1, 2037 ",Not EV ,9D 19 0B 2E 31 45 66 68 5B E8 A8 89 E2 7A A8 C7 D7 AE 1D 8A AD DB A3 C1 EC F9 D2 48 63 CD 34 B9 
Symantec Class 2 Public Primary Certification Authority - G6 ,Symantec Class 2 Public Primary Certification Authority - G6 ,RSA ,2048 bits ,SHA-256 ,64 82 9E FC 37 1E 74 5D FC 97 FF 97 C8 B1 FF 41 ,"23:59:59 Dec 1, 2037 ",Not EV ,CB 62 7D 18 B5 8A D5 6D DE 33 1A 30 45 6B C6 5C 60 1A 4E 9B 18 DE DC EA 08 E7 DA AA 07 81 5F F0 
SZAFIR ROOT CA ,SZAFIR ROOT CA ,RSA ,2048 bits ,SHA-1 ,00 E6 09 FE 7A EA 00 68 8C E0 24 B4 ED 20 1B 1F EF 52 B4 44 D1 ,"11:10:57 Dec 6, 2031 ",Not EV ,FA BC F5 19 7C DD 7F 45 8A C3 38 32 D3 28 40 21 DB 24 25 FD 6B EA 7A 2E 69 B7 48 6E 8F 51 F9 CC 
